BEDS,BATH,SQFT_LOG,ZIPCODE,SUBLOCALITY,BROKERTITLE,TYPE,LATITUDE,LONGITUDE,PRICE_CATEGORY
4,4.0,3.339293966003392,10024,New York,Corcoran West Side,Co-op for sale,40.7836703,-73.9709274,Expensive
7,3.0,3.4385423487861106,10473,Bronx County,Motivated Access Realty Corp.,Multi-family home for sale,40.8136198,-73.8633277,Mid
1,1.0,3.339293966003392,11363,Queens,Coldwell Banker American Homes,Co-op for sale,40.7670699,-73.74642,Cheap
2,2.0,3.3109056293761414,10013,New York,Corcoran SoHo,House for sale,40.7184562,-74.008024,Expensive
3,2.0,3.146128035678238,10303,Richmond County,Coldwell Banker Advantage,Townhouse for sale,40.633314,-74.145909,Mid
5,4.0,3.782472624166286,10003,New York County,COMPASS,Townhouse for sale,40.7366749,-73.9860561,Expensive
5,3.0,3.2833012287035497,11377,Queens County,RE/MAX Team,Multi-family home for sale,40.737193,-73.900139,Mid
4,2.0,3.214843848047698,10314,Richmond County,"BEN BAY REALTY, CO.",House for sale,40.5986261,-74.1817717,Mid
3,2.0,3.2853322276438846,10019,New York,COMPASS,Condo for sale,40.7647904,-73.9890812,Mid
1,1.0,2.863322860120456,11372,Queens County,Exp Realty,Co-op for sale,40.7479556,-73.8929488,Cheap
2,2.0,2.986323777050765,11234,Brooklyn,Keller Williams Realty Group,Condo for sale,40.6280579,-73.9171101,Cheap
2,2.0,3.339293966003392,11360,Queens,Douglas Elliman - Bayside,Co-op for sale,40.7806336,-73.7800528,Cheap
3,2.0,3.3636119798921444,10310,Richmond County,"Robert Defalco Realty, Inc.",Contingent,40.6426635,-74.1108512,Mid
3,3.0,3.350441856535061,10023,Manhattan,Engel & V�������,Condo for sale,40.7697189,-73.9810746,Expensive
3,1.0,2.7403626894942437,10025,New York,Corcoran West Side Gallery,Condo for sale,40.7935585,-73.9656011,Mid
2,1.0,2.942008053022313,10463,The Bronx,Re/Max In The City,Co-op for sale,40.8797408,-73.9204193,Cheap
3,2.0,3.2430380486862944,10032,New York,Coldwell Banker Reliable Real Estate,Co-op for sale,40.8368955,-73.9465033,Mid
1,1.0,3.339293966003392,11414,Queens,Keller Williams Realty Liberty,Co-op for sale,40.6661012,-73.8471882,Cheap
1,1.0,2.8750612633917,11362,Queens County,Keller Williams Realty Greater Nassau,Co-op for sale,40.7554479,-73.7319604,Cheap
2,1.0,3.0253058652647704,10033,New York,Corcoran Chelsea/Flatiron,Co-op for sale,40.8511616,-73.9408472,Mid
3,2.3738608579684373,3.2211533219547053,10469,Bronx County,Motivated Access Realty Corp.,Townhouse for sale,40.872068,-73.8605942,Mid
3,2.3738608579684373,3.339293966003392,11235,Kings County,Other,Land for sale,40.5844107,-73.9380366,Cheap
2,2.0,2.971739590887778,11230,Brooklyn,Corcoran Brooklyn Heights,Condo for sale,40.6305676,-73.9713098,Mid
2,2.0,3.339293966003392,10023,New York,Douglas Elliman - 1995 Broadway,Co-op for sale,40.7776749,-73.9829506,Mid
4,2.3738608579684373,3.339293966003392,11358,Queens County,Century Homes Realty Group LLC,House for sale,40.771268,-73.8046173,Mid
2,2.0,3.339293966003392,10021,New York,COMPASS,Co-op for sale,40.7716485,-73.9646206,Mid
2,2.0,3.041392685158225,11234,Brooklyn,Other,Condo for sale,40.6280579,-73.9171101,Mid
2,1.0,3.255272505103306,11232,Kings County,"Homes R Us Realty of NY, Inc.",Townhouse for sale,40.6594527,-73.9975913,Mid
2,2.0,2.873320601815399,10465,Bronx County,Berkshire Hathaway HomeServices New York Properties - Eastchester,Co-op for sale,40.8233271,-73.8110122,Cheap
3,1.0,2.6989700043360187,11360,Queens,Century 21 Bay Benjamin,Condo for sale,40.7781488,-73.782075,Cheap
2,2.0,3.229681842317676,10012,New York,Other,Co-op for sale,40.7246503,-73.9960912,Expensive
4,3.0,3.13956426617585,11413,Queens County,Chase Global Realty Corp,House for sale,40.6767141,-73.7492797,Mid
3,2.0,3.161368002234975,11377,Queens,City Realty Group,Condo for sale,40.7436792,-73.8983202,Mid
2,2.0,3.089905111439398,11235,Brooklyn,Ilite Realty Inc,Condo for sale,40.577533,-73.958513,Mid
1,1.0,2.8750612633917,11230,Brooklyn,eXp Realty BKNY,Co-op for sale,40.6195811,-73.9706361,Cheap
3,2.0,3.187520720836463,11229,Kings County,"BEN BAY REALTY, CO.",Multi-family home for sale,40.5949347,-73.9347766,Mid
7,2.3738608579684373,3.6127838567197355,11221,Kings County,COMPASS,Townhouse for sale,40.6863946,-73.9376539,Expensive
2,2.0,3.146128035678238,10025,New York County,Other,For sale,40.7986579,-73.9679035,Expensive
2,1.0,2.9777236052888476,11354,Flushing,Chous Realty Group Inc,Co-op for sale,40.7715386,-73.8302815,Cheap
1,1.0,2.845098040014257,11229,Brooklyn,RE MAX Real Estate Professionals,Co-op for sale,40.6073781,-73.9601827,Cheap
4,2.0,3.6283889300503116,10075,New York County,Douglas Elliman - 575 Madison Ave,Townhouse for sale,40.77551,-73.957627,Expensive
6,3.0,3.339293966003392,11361,Queens County,Exp Realty,Multi-family home for sale,40.7688965,-73.7752498,Mid
2,2.0,3.339293966003392,10016,New York,Douglas Elliman - 575 Madison Ave,House for sale,40.7479844,-73.9728389,Expensive
7,3.0,3.255272505103306,11223,Kings County,E Realty International Corp,Multi-family home for sale,40.58761,-73.9698943,Mid
3,1.0,3.339293966003392,11374,Queens County,Other,Co-op for sale,40.7337965,-73.8620837,Cheap
3,2.0,3.4858633295973345,10314,Richmond County,Other,Multi-family home for sale,40.5838227,-74.1568196,Mid
2,2.0,3.0141003215196207,10029,New York,Corcoran Westside Columbus,Condo for sale,40.7958546,-73.9464985,Mid
3,3.0,3.401400540781544,11229,Kings County,RE MAX Edge,Multi-family home for sale,40.5994335,-73.9458671,Mid
2,2.0,3.1760912590556813,11231,Kings County,Daniel Gale of Brooklyn LLC,Townhouse for sale,40.6756128,-74.0124872,Expensive
1,1.0,3.339293966003392,10016,New York,Corcoran West Side,Co-op for sale,40.7478025,-73.9811899,Mid
3,2.3738608579684373,3.339293966003392,11210,Kings County,Behfar Team Llc,House for sale,40.6143817,-73.9525027,Mid
3,2.0,3.339293966003392,11379,Queens County,Keller Williams Rlty Landmark,Pending,40.7223571,-73.8834031,Mid
5,3.0,3.061452479087193,11691,Queens County,Macaluso Realty,House for sale,40.6019328,-73.7587155,Mid
3,3.0,3.3569814009931314,11414,Queens County,"Century 21 Amiable Realty Group II, Inc.",House for sale,40.6556445,-73.848959,Mid
2,2.0,3.378579576115775,10001,New York,Hauseit LLC - Hauseit LLC,Co-op for sale,40.7489369,-73.9948023,Expensive
2,1.0,3.0,11230,Brooklyn,RE MAX Edge,Co-op for sale,40.6211681,-73.9559582,Cheap
1,1.0,3.339293966003392,10028,New York,"Nest Seekers International, Midtown",Co-op for sale,40.7763285,-73.9475088,Mid
3,1.0,3.339293966003392,11417,Queens County,Sowae Corp,House for sale,40.6784764,-73.8476859,Cheap
2,1.0,2.9111576087399764,10462,Bronx County,Exp Realty,Condo for sale,40.840962,-73.854142,Cheap
4,4.0,3.4434194617828173,10312,Richmond County,Staten Island Premiere Properties,Multi-family home for sale,40.5365656,-74.1839422,Mid
5,3.0,3.339293966003392,11234,Kings County,Coldwell Banker American Homes,Multi-family home for sale,40.6290233,-73.9330774,Mid
4,2.0,3.1583624920952498,11411,Queens County,REALHome Services & Solutions,House for sale,40.6958663,-73.7450046,Mid
2,2.0,3.113943352306837,11209,Brooklyn,Fillmore Real Estate,Co-op for sale,40.620502,-74.0396973,Mid
1,1.0,2.833147111912785,11005,Queens,Charles H. Greenthal Property,Co-op for sale,40.7564761,-73.7212008,Cheap
3,2.0,3.1931245983544616,11360,Queens County,Douglas Elliman - Bayside,House for sale,40.7756208,-73.7758933,Mid
4,2.0,3.278753600952829,11358,Queens County,Keller Williams Legendary,Pending,40.7701584,-73.8052147,Mid
4,3.0,3.161966616364075,11237,Kings County,Other,House for sale,40.7039659,-73.9210676,Mid
3,2.0,3.146128035678238,11234,Kings County,Other,House for sale,40.6306818,-73.9325033,Mid
5,2.0,3.339293966003392,11221,Kings County,Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,40.6862289,-73.9364224,Mid
3,2.0,3.0402066275747113,11220,Brooklyn,RE MAX Real Estate Professionals,Condo for sale,40.6449894,-74.0196153,Mid
5,3.0,3.546542663478131,10472,Bronx County,Other,Multi-family home for sale,40.8247021,-73.8766066,Mid
4,1.0,3.010299956639812,10035,New York,Brown Harris Stevens,Co-op for sale,40.807789,-73.938228,Mid
2,2.0,3.000434077479319,10039,New York,Douglas Elliman  -111 Fifth Ave,Condo for sale,40.8241865,-73.939702,Mid
3,2.3738608579684373,3.339293966003392,11432,Queens County,Keller Williams Rlty Landmark,Pending,40.7199051,-73.7781913,Mid
